6.48116	   172
6.51134	   174
6.54151	   178
6.57084	   179
6.60101	   181
6.63119	   181
6.66052	   183
6.69069	   182
6.72086	   183
6.75104	   181
6.78037	   180
6.81054	   179
6.84072	   174
6.87089	   172
6.90022	   170
6.93039	   168
6.96057	   168
6.9899	   163
7.02007	   161
7.05025	   158
7.07958	   155
7.10975	   152
7.13992	   149
7.16926	   148
7.19943	   145
7.2296	   144
7.25894	   142
7.28911	   142
7.31928	   140
7.34945	   138
7.37879	   139
7.40896	   141
7.43913	   142
7.46847	   144
7.49864	   144
7.52881	   145
7.55814	   145
7.58832	   147
7.61849	   149
7.64782	   149
 7.678	   150
7.70817	   151
7.73834	   153
7.76767	   153
7.79785	   151
7.82802	   152
7.85735	   151
7.88752	   150
7.9177	   150
7.94787	   150
7.9772	   148
8.00738	   146
8.03755	   146
8.06772	   144
8.09705	   142
8.12723	   139
8.1574	   138
8.18673	   136
8.2169	   134
8.24708	   133
8.27641	   132
8.30658	   128
8.33676	   128
8.36693	   126
8.39626	   125
8.42643	   125
8.45661	   123
8.48594	   123
8.51611	   123
8.54629	   122
8.57646	   121
8.60579	   122
8.63596	   122
8.66614	   122
8.69547	   123
8.72564	   123
8.75581	   123
8.78515	   124
8.81532	   123
8.90249	   122
8.93182	   123
8.96199	   122
8.99133	   122
9.0215	   121
9.05167	   120
 9.081	   120
9.11118	   119
9.14051	   120
9.17068	   120
9.20002	   119
9.22935	   117
9.25952	   117
9.2897	   117
9.31903	   117
9.3492	   116
9.37854	   116
9.40871	   116
9.43804	   116
9.46821	   116
9.49755	   115
9.52772	   115
9.55705	   114
9.58723	   114
9.61656	   113
9.64673	   112
9.67607	   114
9.70624	   113
9.73641	   112
9.76575	   111
9.79592	   110
9.82525	   110
9.85542	   110
9.88476	   109
9.91493	   109
9.94427	   110
9.97444	   109
10.0038	   109
10.0339	   109
10.0633	   108
10.0935	   107
10.1228	   107
10.153	   108
10.1831	   108
10.2125	   108
10.2426	   108
10.272	   107
10.3021	   108
10.3315	   107
10.3616	   106
10.391	   106
10.4212	   106
10.4513	   105
10.4807	   105
10.5108	   105
10.5402	   106
10.5703	   105
10.5997	   104
10.6298	   104
10.6592	   104
10.6894	   105
10.7187	   104
